Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,3.0,4.0,5.0,2.0,7.0,6.0,1.0
Adiac,5.0,3.0,4.0,2.0,7.0,6.0,1.0
ArrowHead,4.0,2.0,5.0,3.0,7.0,6.0,1.0
BME,2.0,1.0,5.0,6.0,7.0,4.0,3.0
Beef,4.0,3.0,2.0,5.0,7.0,6.0,1.0
BeetleFly,2.0,5.0,6.0,3.0,7.0,4.0,1.0
BirdChicken,2.0,4.0,3.0,5.0,7.0,6.0,1.0
CBF,1.0,2.0,3.0,4.0,7.0,6.0,5.0
Car,6.0,3.0,2.0,1.0,7.0,5.0,4.0
ChlorineConcentration,3.0,5.0,6.0,4.0,7.0,2.0,1.0
CinCECGTorso,3.0,4.0,5.0,2.0,7.0,6.0,1.0
Coffee,1.0,2.0,3.0,4.0,7.0,5.0,6.0
Computers,2.0,5.0,6.0,3.0,7.0,4.0,1.0
CricketX,3.0,5.0,6.0,2.0,7.0,4.0,1.0
CricketY,3.0,5.0,6.0,2.0,7.0,4.0,1.0
CricketZ,3.0,5.0,6.0,2.0,7.0,4.0,1.0
Crop,1.0,6.0,7.0,4.0,5.0,2.0,3.0
DistalPhalanxOutlineAgeGroup,1.0,5.0,6.0,4.0,7.0,2.0,3.0
DistalPhalanxOutlineCorrect,4.0,6.0,5.0,2.0,7.0,3.0,1.0
DistalPhalanxTW,1.0,5.0,6.0,4.0,7.0,2.0,3.0
ECG200,1.0,4.0,6.0,3.0,7.0,2.0,5.0
ECG5000,1.0,6.0,5.0,4.0,7.0,2.0,3.0
ECGFiveDays,1.0,2.0,5.0,4.0,7.0,3.0,6.0
EOGHorizontalSignal,3.0,5.0,6.0,2.0,7.0,4.0,1.0
EOGVerticalSignal,3.0,5.0,6.0,2.0,7.0,4.0,1.0
EthanolLevel,3.0,5.0,6.0,2.0,7.0,4.0,1.0
FaceAll,2.0,5.0,6.0,3.0,7.0,4.0,1.0
FacesUCR,2.0,4.0,5.0,3.0,7.0,6.0,1.0
Fish,5.0,2.0,3.0,4.0,7.0,6.0,1.0
FordA,3.0,7.0,5.0,4.0,6.0,1.0,2.0
FordB,3.0,7.0,6.0,4.0,5.0,2.0,1.0
FreezerRegularTrain,4.0,6.0,5.0,3.0,7.0,1.0,2.0
FreezerSmallTrain,1.0,3.0,2.0,4.0,7.0,5.0,6.0
GunPoint,1.0,3.0,5.0,4.0,7.0,6.0,2.0
GunPointAgeSpan,3.0,5.0,6.0,4.0,7.0,2.0,1.0
GunPointMaleVersusFemale,3.0,5.0,6.0,4.0,7.0,1.0,2.0
GunPointOldVersusYoung,2.0,3.0,6.0,5.0,7.0,4.0,1.0
Ham,2.0,5.0,6.0,4.0,7.0,3.0,1.0
HandOutlines,4.0,5.0,6.0,2.0,7.0,3.0,1.0
Haptics,4.0,5.0,6.0,2.0,7.0,3.0,1.0
Herring,1.0,3.0,6.0,5.0,7.0,4.0,2.0
InlineSkate,5.0,3.0,4.0,2.0,7.0,6.0,1.0
InsectEPGRegularTrain,5.0,3.0,2.0,4.0,7.0,6.0,1.0
InsectWingbeatSound,2.0,4.0,5.0,3.0,7.0,6.0,1.0
ItalyPowerDemand,3.0,1.0,4.0,5.0,7.0,2.0,6.0
LargeKitchenAppliances,6.0,3.0,5.0,2.0,7.0,4.0,1.0
Mallat,1.0,3.0,5.0,4.0,7.0,6.0,2.0
Meat,2.0,1.0,3.0,4.0,7.0,5.0,6.0
MedicalImages,1.0,5.0,6.0,3.0,7.0,4.0,2.0
MiddlePhalanxOutlineAgeGroup,1.0,6.0,5.0,4.0,7.0,2.0,3.0
MiddlePhalanxOutlineCorrect,4.0,6.0,5.0,2.0,7.0,3.0,1.0
MiddlePhalanxTW,1.0,6.0,5.0,4.0,7.0,3.0,2.0
MixedShapesRegularTrain,3.0,6.0,5.0,2.0,7.0,4.0,1.0
MixedShapesSmallTrain,4.0,3.0,5.0,2.0,7.0,6.0,1.0
MoteStrain,1.0,2.0,3.0,4.0,7.0,6.0,5.0
NonInvasiveFetalECGThorax1,3.0,6.0,5.0,2.0,7.0,1.0,4.0
NonInvasiveFetalECGThorax2,4.0,5.0,6.0,2.0,7.0,1.0,3.0
OSULeaf,2.0,5.0,6.0,3.0,7.0,4.0,1.0
OliveOil,2.0,1.0,3.0,4.0,7.0,5.0,6.0
PhalangesOutlinesCorrect,2.0,6.0,5.0,3.0,7.0,1.0,4.0
Plane,1.0,3.0,5.0,4.0,7.0,6.0,2.0
PowerCons,1.0,5.0,6.0,3.0,7.0,2.0,4.0
ProximalPhalanxOutlineAgeGroup,1.0,6.0,5.0,3.0,7.0,2.0,4.0
ProximalPhalanxOutlineCorrect,3.0,5.0,6.0,4.0,7.0,1.0,2.0
ProximalPhalanxTW,1.0,5.0,6.0,4.0,7.0,3.0,2.0
Rock,3.0,5.0,4.0,2.0,7.0,6.0,1.0
ScreenType,3.0,5.0,6.0,2.0,7.0,4.0,1.0
SemgHandGenderCh2,5.0,3.0,6.0,2.0,7.0,4.0,1.0
SemgHandMovementCh2,4.0,3.0,6.0,1.0,7.0,5.0,2.0
SemgHandSubjectCh2,4.0,5.0,6.0,2.0,7.0,3.0,1.0
ShapeletSim,2.0,3.0,5.0,1.0,7.0,4.0,6.0
ShapesAll,2.0,6.0,5.0,3.0,7.0,4.0,1.0
SmoothSubspace,1.0,5.0,6.0,3.0,7.0,2.0,4.0
SonyAIBORobotSurface2,1.0,3.0,2.0,6.0,7.0,4.0,5.0
StarLightCurves,3.0,5.0,6.0,2.0,7.0,4.0,1.0
Strawberry,4.0,5.0,6.0,2.0,7.0,1.0,3.0
SwedishLeaf,2.0,6.0,5.0,3.0,7.0,4.0,1.0
Symbols,1.0,2.0,3.0,4.0,7.0,6.0,5.0
SyntheticControl,1.0,5.0,6.0,3.0,7.0,4.0,2.0
ToeSegmentation1,2.0,3.0,6.0,5.0,7.0,4.0,1.0
ToeSegmentation2,1.0,4.0,6.0,3.0,7.0,5.0,2.0
Trace,2.0,3.0,5.0,4.0,7.0,6.0,1.0
TwoLeadECG,1.0,2.0,4.0,5.0,7.0,3.0,6.0
UMD,1.0,2.0,6.0,4.0,7.0,5.0,3.0
UWaveGestureLibraryX,2.0,6.0,5.0,4.0,7.0,3.0,1.0
UWaveGestureLibraryZ,2.0,6.0,5.0,4.0,7.0,3.0,1.0
Wafer,1.0,6.0,5.0,4.0,7.0,2.0,3.0
Wine,4.0,2.0,3.0,6.0,7.0,5.0,1.0
WordSynonyms,2.0,5.0,3.0,4.0,7.0,6.0,1.0
Worms,3.0,5.0,6.0,2.0,7.0,4.0,1.0
WormsTwoClass,3.0,4.0,6.0,2.0,7.0,5.0,1.0
Yoga,2.0,6.0,5.0,3.0,7.0,4.0,1.0
