Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,0.8126499197812358,0.8286814098938569,0.8286814098938569,0.8237103668536012,0.5188210692890124,0.6740733900970421,0.9864443390130372
Adiac,0.8400067775089594,0.8396668818945873,0.8396668818945873,0.7824569691472261,0.8106491411659273,0.8547246387308799,0.9003960882466671
ArrowHead,0.5699522402760435,0.5472992822293685,0.5472992822293685,0.6452530041390683,0.5825524084531708,0.595047253362545,0.6471195627689732
BME,0.20726752236915663,0.19830771220224278,0.19830771220224278,0.21716641623735045,0.22432913803192178,0.23722792046960878,0.2122197718254968
Beef,0.888411396820575,0.8360788371744226,0.8360788371744226,0.8589180147150974,0.8499433159570752,0.9032396367855065,1.6149821696771174
BeetleFly,0.274696533870598,0.28200537780561674,0.28200537780561674,0.2706650867538029,0.25484611859007966,0.2539201416394361,0.2884339904861286
BirdChicken,0.31114721008078317,0.2786960097463187,0.2786960097463187,0.27676966158300265,0.2882208030282803,0.31799283766778075,0.7394673698650999
CBF,0.14925394734642528,0.12630180879588887,0.12630180879588887,0.12506298521355383,0.1424161390939046,0.2650482735800062,0.16953467622238488
Car,0.4480313472375871,0.38232443692139173,0.38232443692139173,0.43893044500718476,0.45400653575608585,0.37929224366077396,0.8899911213072843
ChlorineConcentration,0.6752678921538715,0.6569878731372236,0.6569878731372236,0.6714868201526776,0.6776009315410345,0.6784861597995144,0.675227200645218
CinCECGTorso,0.3090272299938083,0.3139199916518494,0.3139199916518494,0.30364436923246124,0.33530352313498857,0.35386719184188686,0.35159989948357184
Coffee,0.09750956144445168,0.10473306641015666,0.10473306641015666,0.1065308724510845,0.0906841846560618,0.11082771013412515,0.1095651709901285
Computers,0.5014284984526046,0.478178363847257,0.478178363847257,0.46714415794478936,0.4673035609650829,0.5623174509544933,0.4767533868850693
CricketX,0.8146567482626298,0.8067610271864385,0.8067610271864385,0.8061266053863043,0.8359075219413086,0.8215142953791,0.8257144906052007
CricketY,0.8202704437176829,0.8160276089923169,0.8160276089923169,0.8555083919694326,0.841692989079822,0.8379755347114675,0.8340437557695527
CricketZ,0.8098192941417902,0.7925425008371721,0.7925425008371721,0.7975108541395298,0.8454564713773057,0.8244008145647903,0.8464242075996935
Crop,0.9104319555399842,0.9104075811959309,0.9104075811959309,0.9155800692902585,0.8996399546105087,0.9056230282535509,0.9643799616795934
DistalPhalanxOutlineAgeGroup,0.6125744032482593,0.6053119877602752,0.6053119877602752,0.5877914977170289,0.6118958457489365,0.5839525125527283,0.5973832242641901
DistalPhalanxOutlineCorrect,0.43142903277235445,0.41864121129559173,0.41864121129559173,0.4094131073313852,0.4199614014844799,0.41103338414120494,0.4233018323749048
DistalPhalanxTW,1.1305499438465478,1.1513472159877547,1.2680916820873733,1.3647239601067391,1.1089630165362707,1.0202007928408492,1.12277743972921
ECG200,0.7273423295432385,0.37294197126265083,0.37294197126265083,0.6970857593310822,0.3733382434697626,0.6975973960743547,0.38120719926404717
ECG5000,0.3459303262326715,0.3145462717871791,0.3145462717871791,0.33070075818887396,0.35548535372991646,0.26011475688725516,0.3602939522472398
ECGFiveDays,0.029636629347383512,0.036976246330973385,0.036976246330973385,0.04510795185731932,0.04290044374756004,0.05521256633646915,0.07130814453697015
EOGHorizontalSignal,1.155609136673115,1.4060306732762673,1.4060306732762673,1.208081945320337,1.178824232719304,1.3868932683268644,1.5572412658516692
EOGVerticalSignal,1.470032699945853,1.381560840482839,1.381560840482839,1.3761101675923197,1.419404447785292,1.3051527809473238,1.4941153377352558
EthanolLevel,0.5394445854320296,0.5425044139160493,0.5425044139160493,0.544566247588887,0.5447814617382598,0.5434091704508988,0.6022023338118138
FaceAll,1.269145228849615,1.239684593763439,1.239684593763439,1.3963381128288201,2.0631416241614566,1.470942775728362,1.5746515640064778
FacesUCR,0.5820770822140278,0.5460857322251733,0.5460857322251733,0.556949206465807,0.6432417683698377,0.6538469057310499,0.596984282445182
Fish,0.29261760295965167,0.2859814772123225,0.2859814772123225,0.2810185863404048,0.2860834178466875,0.28312928569975554,0.3387926604000884
FordA,0.18918896285479697,0.17311480788868622,0.17311480788868622,0.17353541287873195,0.17611506711660516,0.17308895425820087,0.19034853038839322
FordB,0.2872206277141526,0.28490414185016055,0.2854107905396066,0.28557342956293214,0.28548574785668357,0.2890109670129207,0.29187085119814055
FreezerRegularTrain,0.00408330384773762,0.004213117974549915,0.004213117974549915,0.004083703028503544,0.004497673896430743,0.004121530001910199,0.03229594079339692
FreezerSmallTrain,0.03971250215763776,0.02135979045002039,0.02135979045002039,0.027953867203065884,0.020373586078712792,0.030132495408452364,0.2604965153779419
GunPoint,0.06293338598502107,0.05246326100242342,0.05246326100242342,0.05526401535562746,0.05935942675541159,0.06902587223842302,0.0642089053099023
GunPointAgeSpan,0.0973720749313072,0.09390687794512655,0.09390687794512655,0.09859255975789055,0.09752701614412723,0.10182438276295133,0.11730788679538445
GunPointMaleVersusFemale,0.06434181768895228,0.06143868213045618,0.06143868213045618,0.06266382555367786,0.05294417937418407,0.06392591559511729,0.09005521022931107
GunPointOldVersusYoung,0.12031949981140097,0.1217379420859993,0.1217379420859993,0.12112581033524328,0.11894684236805649,0.12195150774720281,0.1506658623050971
Ham,0.4456116922471969,0.45384326124983376,0.45384326124983376,0.4575771695265425,0.44821642775721704,0.4562489643847355,0.43519490588993576
HandOutlines,0.19167488926050713,0.18947456046728245,0.18947456046728245,0.1891717290042082,0.18711870928190572,0.18647159453110676,0.21345642246941102
Haptics,1.2278764436501142,1.235062884301407,1.235062884301407,1.2308937218369636,1.2288867796289606,1.2201909522532262,1.4631656279339769
Herring,0.6732962622758626,0.6984796303046975,0.6984796303046975,0.6742534117187013,0.6996424083821483,0.6768248025256862,0.6967717510119837
InlineSkate,1.452085159546028,1.4337622718786416,1.4337622718786416,1.4998174386592313,1.4903819591709715,1.4658931934772697,1.8632576809324402
InsectEPGRegularTrain,0.14275043912906898,0.13936145258980648,0.13936145258980648,0.13764611101096946,0.1361850730733477,0.12313256495208394,0.437228960550285
InsectWingbeatSound,0.9806459041148111,1.044524652810618,1.044524652810618,1.0228540446151806,1.0340283005438358,1.0045933229565076,1.175981122073774
ItalyPowerDemand,0.12492717538724132,0.16997228538776474,0.16997228538776474,0.12641553722126228,0.12546121599978036,0.12915009705838665,0.16421197681433247
LargeKitchenAppliances,0.40414766335161717,0.48163876011784423,0.48163876011784423,0.355935216004951,0.44543061527639405,0.35958062824134873,0.3769817337631932
Mallat,0.18556065274200417,0.2255330812729079,0.2255330812729079,0.21957844414139382,0.23034946494835448,0.2849996701173202,0.2040422612356297
Meat,0.14597026459497575,0.1262902488497159,0.1262902488497159,0.1301269256978425,0.13731788332790534,0.1632434566648511,0.24194869946953668
MedicalImages,0.7489851925577675,0.7536747214961952,0.7293137553859794,0.727959184684708,0.8023288564556887,0.824906727159131,0.7055893803642744
MiddlePhalanxOutlineAgeGroup,1.1647327006815738,1.0754262454475905,1.0754262454475905,1.1770716081867565,0.9736451248855956,1.1744852352060562,1.1734975442450397
MiddlePhalanxOutlineCorrect,0.42318598018435194,0.38054859570130894,0.38054859570130894,0.3804134772451018,0.4038088800749524,0.39733366899131817,0.4130601995827258
MiddlePhalanxTW,1.0812919002007495,1.0806142906212521,1.0806142906212521,1.0888176891537071,1.0493302577860186,1.073806997003416,1.071655615037201
MixedShapesRegularTrain,0.18494084641692338,0.16852625999744475,0.16852625999744475,0.16167576285035307,0.16294188065042836,0.15678084947598717,0.2361271461731415
MixedShapesSmallTrain,0.28471449397309656,0.2795710272325912,0.2795710272325912,0.2771706204819926,0.279669094688628,0.30896047904355756,0.3301907343143855
MoteStrain,0.2660203576668696,0.3342077211688655,0.3342077211688655,0.32394295769757725,0.3020591367837737,0.281247273254688,0.3164430305367378
NonInvasiveFetalECGThorax1,0.3154111398634568,0.30451450870117813,0.3046402885068653,0.29487148451852785,0.37388675384066433,0.33433345044257395,0.425636641223395
NonInvasiveFetalECGThorax2,0.27104402073641065,0.2423053310749987,0.24159184951377893,0.24886798307848568,0.3388236232247077,0.32162586485494804,0.34763529852866265
OSULeaf,0.5123276674073693,0.4740581276437399,0.4740581276437399,0.4766096422243822,0.46730263153313123,0.48610338185372387,0.6824441503623697
OliveOil,0.4105349126568708,0.3966014369716131,0.3966014369716131,0.39360778209907754,0.38898433451538605,0.39189714104232887,0.42804601111146245
PhalangesOutlinesCorrect,0.406092542570336,0.40891956861048084,0.40886154019081045,0.3889599548373808,0.40574307963193545,0.4073016121512375,0.39404913961214155
Plane,0.08925555049172834,0.08013374837222642,0.08013374837222642,0.07556557047955842,0.08933214653784227,0.10103810410150618,0.08260697699345562
PowerCons,0.1415249674463779,0.13709509982383034,0.13709509982383034,0.1332091598317479,0.13365386379307143,0.13802074790812038,0.1292175669885626
ProximalPhalanxOutlineAgeGroup,0.3803055119387875,0.4616326918792272,0.4616326918792272,0.4781253161223469,0.45401585322903026,0.5452834320320201,0.36228661262952155
ProximalPhalanxOutlineCorrect,0.366542514121153,0.4199863270835601,0.4199863270835601,0.3091844998920483,0.3637241265581432,0.37701617669220244,0.2997913379707612
ProximalPhalanxTW,0.6260406601358023,0.6141966145094244,0.6141966145094244,0.5374390541811587,0.6273086757616053,0.6262534487495575,0.6017371484782854
Rock,0.6307329244481021,0.5951163622804194,0.5951163622804194,0.5827574061077199,0.600069301057562,0.6324724223216052,0.6283183832742314
ScreenType,0.81491284003234,0.8737982380309437,0.8737982380309437,0.8104950090796812,0.8360856537102437,0.8417875271007664,0.8208267174118842
SemgHandGenderCh2,0.22716651547439365,0.20924014733366983,0.20924014733366983,0.21475813568766533,0.2219728408367161,0.2469055122785182,0.24383452314096238
