Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,4.0,2.5,2.5,5.0,7.0,1.0,6.0
Adiac,5.0,3.5,3.5,2.0,1.0,7.0,6.0
ArrowHead,1.0,2.5,2.5,4.0,5.0,7.0,6.0
BME,2.0,5.0,5.0,5.0,7.0,3.0,1.0
Beef,2.5,2.5,2.5,5.0,2.5,7.0,6.0
BeetleFly,7.0,2.5,2.5,2.5,2.5,5.5,5.5
BirdChicken,6.0,2.5,2.5,2.5,2.5,5.0,7.0
CBF,1.0,3.0,3.0,3.0,5.0,6.0,7.0
Car,2.0,3.5,3.5,5.0,6.0,1.0,7.0
ToeSegmentation1,3.0,1.5,1.5,5.5,4.0,5.5,7.0
ToeSegmentation2,6.0,4.5,4.5,2.0,3.0,1.0,7.0
Trace,3.5,3.5,3.5,3.5,3.5,3.5,7.0
TwoLeadECG,4.0,5.5,5.5,3.0,1.0,2.0,7.0
UWaveGestureLibraryZ,6.0,3.5,3.5,1.0,5.0,2.0,7.0
Wafer,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Wine,7.0,4.5,4.5,1.0,6.0,2.0,3.0
WordSynonyms,3.0,5.5,5.5,2.0,4.0,7.0,1.0
Worms,3.0,4.5,4.5,6.0,1.0,2.0,7.0
WormsTwoClass,7.0,3.5,3.5,1.0,2.0,5.0,6.0
Yoga,5.0,2.5,2.5,1.0,6.0,4.0,7.0
