Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,0.8525003797372219,0.8555866716702629,0.8555866716702629,0.8465471287062349,0.8261751917672969,0.8601476741875853,0.8335555150567264
Adiac,0.79418810383666,0.7910886419263337,0.7910886419263337,0.7955428605151853,0.7946742102879716,0.7676049051797224,0.7757973243378872
ArrowHead,0.7850963748328852,0.7802789484303543,0.7802789484303543,0.7713075999962838,0.7654574034161491,0.7433689173808667,0.7454327794779021
BME,0.9430374148969212,0.936491975610285,0.936491975610285,0.9366474681374835,0.9165033037771408,0.9365526720445452,0.9501927365188586
Beef,0.6428199578199578,0.6410450660450661,0.6410450660450661,0.6325652125652126,0.6474503274503274,0.5932624238506592,0.6236829836829838
BeetleFly,0.8732736572890025,0.949874686716792,0.949874686716792,0.949874686716792,0.949874686716792,0.9244322928533455,0.924812030075188
BirdChicken,0.8234221918432445,0.924812030075188,0.924812030075188,0.924812030075188,0.924812030075188,0.87468671679198,0.7227918280549859
CBF,0.9710767054221241,0.9693771695656457,0.9693771695656457,0.9693645586238178,0.9688163252214437,0.9598861116800681,0.9537039262262175
Car,0.8897457884814207,0.8908548435387516,0.8908548435387516,0.8749853468269028,0.854856939980799,0.9172741072337847,0.7558772504658433
ToeSegmentation1,0.9539464414131676,0.9539497539805262,0.9539497539805262,0.9451906626998172,0.9517645830478572,0.9451906626998172,0.9187796556217609
ToeSegmentation2,0.8799896243660521,0.8931206367162249,0.8931206367162249,0.9108826429980276,0.8938124815874318,0.9152325468648999,0.865755835048639
Trace,1.0,1.0,1.0,1.0,1.0,1.0,0.98
TwoLeadECG,0.9859418406386264,0.9855018074063812,0.9855018074063812,0.9872615617965173,0.992096467682865,0.9894605030103287,0.9257599472711593
UWaveGestureLibraryZ,0.7624365127284138,0.7644607385247075,0.7644607385247075,0.767184568177982,0.7627284515520438,0.7675833083291463,0.7444779701319988
Wafer,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wine,0.8042781975893356,0.8233948969787552,0.8233948969787552,0.8701923076923077,0.8142414860681114,0.8517755392755393,0.8424431700375097
WordSynonyms,0.620492511828567,0.6018166503383677,0.6018166503383677,0.6283303225962528,0.6042349690479771,0.5750958293478716,0.6182434491240765
Worms,0.7218960003854658,0.7115827592527364,0.7115827592527364,0.7049379077349209,0.7453134994349075,0.7198280162594259,0.6821517598329766
WormsTwoClass,0.7968948502909634,0.815617838885951,0.815617838885951,0.8293929072330194,0.8218214016273002,0.8047657560193404,0.7978925836068693
Yoga,0.8539531630775082,0.8656430679381986,0.8656430679381986,0.867528720619148,0.8536611894392712,0.856967922344144,0.8355452790754336
