Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,6770.5,7509.5,7323.0,7291.5,6018.0,9876.5,4184.0
Adiac,15751.0,12830.5,12691.0,15314.0,17982.0,17478.0,9751.0
ArrowHead,1653.0,1354.0,1358.5,1581.0,1471.5,2013.0,718.0
BME,883.0,883.5,842.5,943.5,940.0,1055.5,436.5
Beef,1319.0,1206.0,1218.5,1427.5,1428.0,1451.5,280.5
BeetleFly,710.0,740.5,749.5,838.5,790.5,855.5,326.5
BirdChicken,646.5,589.0,598.5,641.5,646.0,707.5,212.0
CBF,2357.5,2294.0,2247.5,2435.0,2645.0,3504.5,1547.5
Car,1636.0,994.0,1015.5,1166.0,1286.0,1392.0,804.5
ToeSegmentation1,2458.0,2342.0,2380.5,2750.0,2487.5,2641.0,1207.5
ToeSegmentation2,1239.5,1455.0,1474.5,1628.5,1441.5,1687.0,688.0
Trace,1838.5,1672.0,1803.5,2094.5,2233.0,3343.0,1220.5
TwoLeadECG,2627.0,2733.5,2596.0,3107.5,2763.5,3104.0,2478.0
UWaveGestureLibraryZ,199378.5,200149.5,187272.5,229160.5,203516.0,216660.0,187863.0
Wafer,137489.0,131504.0,129467.0,148781.0,137458.5,147074.5,117789.5
Wine,2221.0,1761.5,1804.0,1979.5,2181.5,2384.0,1227.5
WordSynonyms,12198.5,13729.0,13872.0,15816.5,15710.0,20847.5,10873.5
Worms,7937.0,8420.5,8268.5,8583.5,8476.0,8343.0,8005.0
WormsTwoClass,8783.0,9437.5,9630.5,10390.5,10001.0,9915.0,10312.0
Yoga,133916.5,116936.5,115383.0,128292.5,131804.0,123670.5,67134.5
