Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,7.0,3.5,3.5,6.0,1.0,2.0,5.0
Adiac,5.0,2.5,2.5,1.0,4.0,6.0,7.0
ArrowHead,6.0,2.5,2.5,4.0,5.0,1.0,7.0
BME,1.0,3.5,3.5,6.0,5.0,2.0,7.0
Beef,3.0,5.5,5.5,4.0,1.0,2.0,7.0
BeetleFly,7.0,3.5,3.5,6.0,2.0,1.0,5.0
BirdChicken,2.0,5.0,5.0,5.0,1.0,3.0,7.0
CBF,6.0,4.5,4.5,1.0,2.0,3.0,7.0
Car,1.0,4.5,4.5,2.0,3.0,6.0,7.0
ToeSegmentation1,6.0,4.5,4.5,1.0,3.0,2.0,7.0
ToeSegmentation2,6.0,3.5,3.5,2.0,5.0,1.0,7.0
Trace,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TwoLeadECG,6.0,4.5,4.5,1.0,3.0,2.0,7.0
UWaveGestureLibraryZ,3.0,5.5,5.5,2.0,4.0,1.0,7.0
Wafer,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Wine,6.0,4.5,4.5,3.0,2.0,1.0,7.0
WordSynonyms,3.0,1.5,1.5,4.0,5.0,6.0,7.0
Worms,7.0,2.5,2.5,6.0,5.0,4.0,1.0
WormsTwoClass,5.0,6.5,6.5,2.5,2.5,4.0,1.0
Yoga,6.0,2.5,2.5,4.0,5.0,1.0,7.0
