Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,0.8600000000000001,0.845,0.845,0.8250000000000001,0.8,0.85,0.8200000000000001
Adiac,0.7788866538866539,0.7901463588963589,0.7901463588963589,0.8005700005700006,0.7923780423780424,0.7856544356544357,0.7701918951918951
ArrowHead,0.7976483456385015,0.8063531127518002,0.8063531127518002,0.7966912770030079,0.8022513900282564,0.7693920335429769,0.7587275544617628
BME,0.9533333333333334,0.9366666666666665,0.9366666666666665,0.9299999999999999,0.9166666666666665,0.95,0.9333333333333333
Beef,0.7166666666666667,0.7,0.7,0.7,0.75,0.7,0.5833333333333333
BeetleFly,0.825,0.825,0.825,0.85,0.875,0.825,0.9
BirdChicken,0.95,0.925,0.925,0.875,0.95,0.875,0.675
CBF,0.9723841059602649,0.9801287711552612,0.9801287711552612,0.9773693892568065,0.9779249448123619,0.9839919058130979,0.9585207243778736
Car,0.8699392712550607,0.8830971659919028,0.8830971659919028,0.8783979178716022,0.871818970503181,0.8539618276460381,0.8060656448814343
ToeSegmentation1,0.9564814814814815,0.9564814814814815,0.9564814814814815,0.9564814814814815,0.9564814814814815,0.9541666666666667,0.9136574074074074
ToeSegmentation2,0.8999606918238994,0.9518474842767295,0.9518474842767295,0.956564465408805,0.9282625786163522,0.956564465408805,0.8606525157232705
Trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TwoLeadECG,0.9754362840316961,0.9684195109918909,0.9684195109918909,0.9763142478339963,0.9758756513427682,0.9728062467240157,0.9197083217710357
UWaveGestureLibraryZ,0.7723100381623675,0.7736555703008356,0.7736555703008356,0.7721778902192487,0.7712084107167683,0.773129411424747,0.773881739180174
Wafer,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wine,0.8796296296296297,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.9166666666666666,0.9629629629629629,0.8425925925925926
WordSynonyms,0.47014480994700114,0.46480156806587364,0.46480156806587364,0.4710553620874695,0.4630821894616066,0.44102865119560697,0.4881664401085907
Worms,0.6549883449883449,0.6661946386946387,0.6661946386946387,0.6778263403263403,0.6889277389277388,0.6647960372960373,0.6708566433566434
WormsTwoClass,0.7784090909090909,0.7821969696969697,0.7821969696969697,0.8106060606060607,0.8162878787878788,0.8106060606060606,0.8049242424242424
Yoga,0.8568331702069776,0.8648384602361081,0.8648384602361081,0.8668360694038242,0.8615471570672278,0.8703898191285345,0.8449278126788267
