Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,6.0,7.0,3.0,2.0,1.0,5.0,4.0
Adiac,6.0,7.0,1.0,2.0,4.0,5.0,3.0
ArrowHead,6.0,7.0,1.0,3.0,2.0,4.0,5.0
BME,7.0,3.0,2.0,5.0,4.0,6.0,1.0
Beef,6.0,7.0,1.0,3.0,2.0,4.0,5.0
BeetleFly,6.0,7.0,1.0,2.0,4.0,5.0,3.0
BirdChicken,3.0,7.0,1.0,2.0,5.0,6.0,4.0
CBF,6.0,5.0,4.0,2.0,3.0,7.0,1.0
Car,7.0,4.0,3.0,2.0,6.0,5.0,1.0
ToeSegmentation1,2.0,5.0,6.0,3.0,7.0,4.0,1.0
ToeSegmentation2,6.0,4.0,3.0,5.0,2.0,7.0,1.0
Trace,6.0,3.0,2.0,5.0,4.0,7.0,1.0
TwoLeadECG,7.0,3.0,4.0,5.0,2.0,6.0,1.0
UWaveGestureLibraryZ,7.0,2.0,5.0,6.0,1.0,3.0,4.0
Wafer,3.0,2.0,4.0,1.0,5.0,7.0,6.0
Wine,7.0,2.0,3.0,4.0,6.0,5.0,1.0
WordSynonyms,6.0,7.0,3.0,2.0,4.0,5.0,1.0
Worms,1.0,3.0,2.0,5.0,6.0,4.0,7.0
WormsTwoClass,1.0,3.0,2.0,5.0,6.0,4.0,7.0
Yoga,7.0,3.0,2.0,4.0,5.0,6.0,1.0
