Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,0.8600000000000001,0.8500000000000001,0.8500000000000001,0.8700000000000001,0.825,0.855,0.86
Adiac,0.7851662404092072,0.8043478260869565,0.8043478260869565,0.80306905370844,0.8043478260869565,0.782608695652174,0.7634271099744245
ArrowHead,0.7914285714285714,0.7657142857142858,0.7657142857142858,0.7485714285714286,0.7714285714285715,0.7285714285714286,0.7514285714285714
BME,0.9366666666666666,0.9366666666666666,0.9366666666666666,0.9266666666666667,0.9266666666666666,0.92,0.95
Beef,0.7,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.7166666666666667,0.5666666666666667
BeetleFly,0.925,0.95,0.95,0.95,0.95,0.925,0.925
BirdChicken,0.85,0.875,0.875,0.875,0.95,0.875,0.7
CBF,0.9683333333333333,0.9683333333333334,0.9683333333333334,0.9672222222222222,0.9627777777777777,0.9538888888888889,0.9477777777777778
Car,0.8916666666666666,0.8666666666666667,0.8666666666666667,0.8833333333333333,0.8666666666666667,0.8916666666666666,0.775
ToeSegmentation1,0.9495614035087718,0.9583333333333333,0.9583333333333333,0.9495614035087718,0.9495614035087718,0.9451754385964912,0.9254385964912282
ToeSegmentation2,0.8884615384615384,0.8961538461538461,0.8961538461538461,0.8884615384615384,0.8884615384615384,0.9076923076923077,0.8730769230769231
Trace,1.0,1.0,1.0,1.0,1.0,1.0,0.98
TwoLeadECG,0.982001755926251,0.9929762949956102,0.9929762949956102,0.9942932396839332,0.9920983318700615,0.9907813871817384,0.9394205443371378
UWaveGestureLibraryZ,0.7720547180346176,0.7709380234505863,0.7709380234505863,0.7694025683975433,0.7701005025125629,0.7738693467336684,0.751675041876047
Wafer,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wine,0.8055555555555556,0.8425925925925926,0.8425925925925926,0.8333333333333333,0.7962962962962963,0.8611111111111112,0.8703703703703705
WordSynonyms,0.6559561128526645,0.6434169278996865,0.6434169278996865,0.6496865203761756,0.646551724137931,0.6183385579937304,0.6536050156739812
Worms,0.7077922077922079,0.7272727272727273,0.7272727272727273,0.7402597402597403,0.7727272727272727,0.7467532467532467,0.7012987012987013
WormsTwoClass,0.8051948051948052,0.8376623376623377,0.8376623376623377,0.8311688311688312,0.7987012987012987,0.8116883116883118,0.8051948051948052
Yoga,0.8534999999999999,0.8666666666666667,0.8666666666666667,0.8594999999999999,0.8538333333333333,0.8598333333333333,0.8345
