Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,2.0,6.5,6.5,4.0,1.0,5.0,3.0
Adiac,6.0,4.5,4.5,3.0,2.0,7.0,1.0
ArrowHead,4.0,1.5,1.5,5.0,3.0,7.0,6.0
BME,1.0,3.5,3.5,6.0,5.0,7.0,2.0
Beef,4.0,1.5,1.5,3.0,5.0,6.0,7.0
BeetleFly,5.0,2.5,2.5,4.0,1.0,7.0,6.0
BirdChicken,4.0,5.5,5.5,2.0,1.0,3.0,7.0
CBF,4.0,2.5,2.5,1.0,5.0,7.0,6.0
Car,3.0,1.5,1.5,5.0,6.0,4.0,7.0
ToeSegmentation1,5.0,1.5,1.5,4.0,7.0,3.0,6.0
ToeSegmentation2,6.0,2.5,2.5,4.0,5.0,1.0,7.0
Trace,5.0,2.5,2.5,1.0,4.0,6.0,7.0
TwoLeadECG,1.0,3.5,3.5,5.0,2.0,6.0,7.0
UWaveGestureLibraryZ,2.0,4.5,4.5,3.0,6.0,1.0,7.0
Wafer,3.0,6.0,5.0,7.0,4.0,2.0,1.0
Wine,2.0,3.5,3.5,1.0,6.0,5.0,7.0
WordSynonyms,5.0,3.5,3.5,1.0,2.0,6.0,7.0
Worms,5.0,3.5,3.5,6.0,1.0,2.0,7.0
WormsTwoClass,7.0,5.5,5.5,2.0,1.0,4.0,3.0
Yoga,6.0,1.5,1.5,3.0,5.0,4.0,7.0
