Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,60280832.0,63598592.0,63438848.0,59437056.0,53870592.0,102033408.0,45596672.0
Adiac,129359872.0,111073280.0,110383104.0,109422592.0,140437504.0,150038528.0,91512832.0
ArrowHead,31748096.0,27054080.0,27023360.0,27803648.0,28170240.0,45189120.0,19605504.0
BME,23175168.0,22200320.0,22042624.0,22542336.0,22804480.0,24946688.0,17627136.0
Beef,41011200.0,36718592.0,36638720.0,38932480.0,40554496.0,53704704.0,18286592.0
BeetleFly,28383232.0,28332032.0,28293120.0,27582464.0,28319744.0,40876032.0,18434048.0
BirdChicken,26441728.0,25147392.0,25069568.0,24758272.0,24643584.0,31983616.0,16906240.0
CBF,20973568.0,19333120.0,19019776.0,19224576.0,20459520.0,24586240.0,17856512.0
Car,37566464.0,27305984.0,27133952.0,28407808.0,28901376.0,33947648.0,25757696.0
ToeSegmentation1,32829440.0,31260672.0,31238144.0,31647744.0,33026048.0,33554432.0,21182464.0
ToeSegmentation2,27856896.0,28266496.0,28252160.0,28585984.0,28106752.0,31164416.0,19281920.0
Trace,37332992.0,34410496.0,34394112.0,37554176.0,38914048.0,53196800.0,28076032.0
TwoLeadECG,21647360.0,19337216.0,19099648.0,20064256.0,18837504.0,20420608.0,18905088.0
UWaveGestureLibraryZ,171235328.0,163688448.0,165875712.0,170407936.0,165611520.0,173948928.0,166942720.0
Wafer,86867968.0,87216128.0,86841344.0,87203840.0,86933504.0,90232832.0,76040192.0
Wine,53344256.0,44617728.0,44560384.0,45795328.0,50337792.0,52867072.0,34947072.0
WordSynonyms,67813376.0,70547456.0,70459392.0,70297600.0,76244992.0,99530752.0,59738112.0
Worms,75225088.0,86263808.0,86175744.0,86628352.0,91590656.0,88807424.0,93593600.0
WormsTwoClass,81031168.0,107540480.0,107376640.0,112076800.0,119406592.0,112257024.0,138633216.0
Yoga,106393600.0,88848384.0,89208832.0,92049408.0,106547200.0,100630528.0,59760640.0
