Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,2.5,2.5,4.0,5.0,7.0,1.0,6.0
Adiac,1.5,1.5,6.0,3.0,5.0,4.0,7.0
ArrowHead,1.5,1.5,7.0,4.0,3.0,5.0,6.0
BME,2.5,2.5,6.0,4.0,7.0,5.0,1.0
Beef,4.5,4.5,2.0,1.0,6.0,3.0,7.0
BeetleFly,6.5,6.5,4.5,3.0,1.5,1.5,4.5
BirdChicken,4.5,4.5,1.5,4.5,4.5,1.5,7.0
CBF,4.5,4.5,2.0,3.0,1.0,6.0,7.0
Car,1.5,1.5,4.0,6.0,5.0,3.0,7.0
ToeSegmentation1,4.5,4.5,3.0,2.0,1.0,6.0,7.0
ToeSegmentation2,5.5,5.5,3.0,1.0,4.0,2.0,7.0
Trace,3.5,3.5,3.5,3.5,3.5,3.5,7.0
TwoLeadECG,4.5,4.5,3.0,2.0,1.0,6.0,7.0
UWaveGestureLibraryZ,5.5,5.5,2.0,4.0,1.0,3.0,7.0
Wafer,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Wine,5.0,5.0,7.0,3.0,1.0,5.0,2.0
WordSynonyms,3.5,3.5,5.0,1.0,6.0,7.0,2.0
Worms,5.5,5.5,1.0,4.0,3.0,2.0,7.0
WormsTwoClass,2.0,2.0,7.0,6.0,5.0,2.0,4.0
Yoga,5.5,5.5,2.0,3.0,1.0,4.0,7.0
