Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,0.9805555555555555,0.9842777777777778,0.9842777777777778,0.9805833333333334,0.9816388888888888,0.9798888888888888,0.9815277777777778
Adiac,0.9891039248103672,0.9905175581098088,0.9905175581098088,0.9905529158714068,0.9907272326123855,0.9893605154303117,0.9870682396520742
ArrowHead,0.9243429366797754,0.9404621978701782,0.9404621978701782,0.9451608413238479,0.9412394503115196,0.936932305245018,0.9162957889620433
BME,0.9955666666666667,0.9925333333333333,0.9925333333333333,0.9917333333333334,0.9893000000000001,0.9896,0.9936499999999999
Beef,0.9347222222222223,0.9465277777777777,0.9465277777777777,0.9284722222222221,0.9295138888888888,0.9267361111111112,0.8472222222222223
BeetleFly,0.9850000000000001,0.985,0.985,1.0,1.0,1.0,0.98
BirdChicken,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9425,0.95,0.9450000000000001,0.74
CBF,0.9991263145670755,0.9997904357116314,0.9997904357116314,0.9997848940914158,0.9996453471448037,0.9947731032453859,0.9945089944312138
Car,0.9778853891684152,0.9710060317531946,0.9710060317531946,0.9735068214465679,0.9681405729413447,0.9763996374931372,0.9279954291795462
ToeSegmentation1,0.9880787037037038,0.9908757716049383,0.9908757716049383,0.9892746913580246,0.9897183641975308,0.9905285493827161,0.975366512345679
ToeSegmentation2,0.9635416666666667,0.9846698113207547,0.9846698113207547,0.9758254716981132,0.9762185534591195,0.9784787735849056,0.9711084905660377
Trace,1.0,1.0,1.0,1.0,1.0,1.0,0.9986882716049383
TwoLeadECG,0.9999352511331052,0.9999938334412481,0.9999938334412481,0.9999892085221842,0.9999938334412481,0.9999907501618721,0.9716646625350723
UWaveGestureLibraryZ,0.9633230126323513,0.9642953666257376,0.9642953666257376,0.9647940407880504,0.9644608195915381,0.964987108436413,0.9588732258578567
Wafer,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wine,0.8854595336076818,0.8871742112482853,0.8871742112482853,0.907750342935528,0.8940329218106995,0.9056927297668038,0.8796296296296297
WordSynonyms,0.9458506751026825,0.9440394694396896,0.9440394694396896,0.9426097043564305,0.9458916024494624,0.9419544136785015,0.9350274079482064
Worms,0.9140445224039573,0.919129384837529,0.919129384837529,0.9108474751502358,0.9160103971218545,0.9111862921321987,0.9175161617002253
WormsTwoClass,0.8891184573002755,0.8932506887052342,0.8932506887052342,0.8836088154269972,0.8880853994490358,0.8884297520661157,0.9080578512396694
Yoga,0.9343528469979018,0.940025154664781,0.940025154664781,0.9406094612095056,0.9374095117779313,0.9400519577172912,0.9121588027255131
