Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,219710.0,223168.5,240210.5,206509.5,389088.0,230904.0,201304.0
Adiac,392999.0,370498.0,392236.5,340410.0,435923.5,449541.0,283050.5
ArrowHead,13781.0,13024.0,20916.0,13629.0,17588.5,15364.5,13603.0
BME,9878.5,9961.0,10011.0,10411.0,13236.0,10357.5,10376.5
Beef,20340.0,19815.0,25106.0,19240.5,28200.5,20913.5,15817.5
BeetleFly,20085.5,20306.5,25237.0,18347.0,29925.5,19466.5,17996.0
BirdChicken,16061.0,16570.5,22980.5,16663.0,24375.5,17577.5,16143.5
CBF,9137.5,9026.0,9156.5,9466.0,12499.0,10120.0,10788.0
Car,30796.0,27983.5,28123.5,27521.5,47843.5,29407.5,27979.5
ToeSegmentation1,17499.5,16704.0,19259.0,18095.0,24086.0,18282.0,16886.0
ToeSegmentation2,17406.5,18303.0,18800.5,18702.5,27037.5,18589.0,17404.0
Trace,30982.0,33410.0,32414.5,31722.5,47093.0,36394.0,30973.5
TwoLeadECG,8077.0,7505.5,8090.5,8201.0,8884.0,8203.5,9224.0
UWaveGestureLibraryZ,744105.0,1060567.5,1120291.5,746601.0,970558.5,749428.5,754513.5
Wafer,145596.0,614656.5,559018.0,149719.5,199963.5,136118.5,142642.5
Wine,19462.5,16440.5,17012.0,17432.5,21577.5,18788.0,15621.5
WordSynonyms,150750.0,179559.5,184163.5,166722.0,213568.5,206187.5,139740.5
Worms,327338.5,313471.5,351983.0,318198.0,561499.5,332011.0,324395.5
WormsTwoClass,321152.0,334265.0,334803.5,316606.0,585732.0,329012.5,332771.5
Yoga,160570.0,173701.5,180771.5,150468.0,237806.5,156065.0,137225.0
