Experiment,Runtime
ACSF1Experiment,119.81600000000000
AdiacExperiment,335.752
ArrowHeadExperiment,12.038
BMEExperiment,11.124000000000000
BeefExperiment,16.602000000000000
BeetleFlyExperiment,16.214
BirdChickenExperiment,14.0
CBFExperiment,12.714
CarExperiment,21.592000000000000
ToeSegmentation1Experiment,17.542
ToeSegmentation2Experiment,16.468
TraceExperiment,27.502
TwoLeadECGExperiment,11.726000000000000
UWaveGestureLibraryZExperiment,856.048
WaferExperiment,318.15
WineExperiment,18.864000000000000
WordSynonymsExperiment,148.888
WormsExperiment,188.86400000000000
WormsTwoClassExperiment,184.264
YogaExperiment,211.836
KW 2k,128.0002
