Experiment,Runtime
ACSF1Experiment,71.31
AdiacExperiment,280.104
ArrowHeadExperiment,13.122
BMEExperiment,11.348
BeefExperiment,12.69
BeetleFlyExperiment,11.766
BirdChickenExperiment,11.172
CBFExperiment,12.668
CarExperiment,17.642000000000000
ToeSegmentation1Experiment,11.672
ToeSegmentation2Experiment,11.11
TraceExperiment,19.636000000000000
TwoLeadECGExperiment,10.138
UWaveGestureLibraryZExperiment,808.174
WaferExperiment,300.70800000000000
WineExperiment,11.616
WordSynonymsExperiment,123.03
WormsExperiment,122.50400000000000
WormsTwoClassExperiment,115.638
YogaExperiment,145.192
Wasser 2k,106.062
