Experiment,Runtime
ACSF1Experiment,510.742
AdiacExperiment,488.178
ArrowHeadExperiment,30.678000000000000
BMEExperiment,22.66
BeefExperiment,40.668
BeetleFlyExperiment,42.316000000000000
BirdChickenExperiment,37.552
CBFExperiment,20.35
CarExperiment,64.936
ToeSegmentation1Experiment,37.386
ToeSegmentation2Experiment,39.948
TraceExperiment,64.64
TwoLeadECGExperiment,18.934
UWaveGestureLibraryZExperiment,1196.5566666666700
WaferExperiment,346.17600000000000
WineExperiment,33.910000000000000
WordSynonymsExperiment,229.74200000000000
WormsExperiment,745.654
WormsTwoClassExperiment,751.5260000000000
YogaExperiment,455.704
20k,258.912833333334
