Experiment,Runtime
ACSF1Experiment,521.0320000000000
AdiacExperiment,485.674
ArrowHeadExperiment,29.986
BMEExperiment,21.638000000000000
BeefExperiment,41.528000000000000
BeetleFlyExperiment,44.25
BirdChickenExperiment,37.098
CBFExperiment,21.958
CarExperiment,64.558
ToeSegmentation1Experiment,37.46
ToeSegmentation2Experiment,42.178000000000000
TraceExperiment,70.538
TwoLeadECGExperiment,19.18
UWaveGestureLibraryZExperiment,2087.1760000000000
WaferExperiment,1263.6680000000000
WineExperiment,33.094
WordSynonymsExperiment,273.932
WormsExperiment,764.354
WormsTwoClassExperiment,788.1480000000000
YogaExperiment,464.698
20k,355.6074
