Experiment,Runtime
ACSF1Experiment,536.8720000000000
AdiacExperiment,511.532
ArrowHeadExperiment,32.658
BMEExperiment,22.222
BeefExperiment,44.33
BeetleFlyExperiment,43.548
BirdChickenExperiment,36.686
CBFExperiment,25.448
CarExperiment,66.064
ToeSegmentation1Experiment,36.766000000000000
ToeSegmentation2Experiment,42.404000000000000
TraceExperiment,73.174
TwoLeadECGExperiment,19.076
UWaveGestureLibraryZExperiment,1216.1233333333300
WaferExperiment,348.366
WineExperiment,34.756
WordSynonymsExperiment,338.044
WormsExperiment,740.8640000000000
WormsTwoClassExperiment,772.842
YogaExperiment,427.828
Mm 20k,268.480166666667
