Experiment,Runtime (seconds)
ACSF1Experiment,162.262
AdiacExperiment,424.258
ArrowHeadExperiment,18.864000000000000
BMEExperiment,11.708
BeefExperiment,21.376000000000000
BeetleFlyExperiment,18.218
BirdChickenExperiment,17.740000000000000
CBFExperiment,14.098000000000000
CarExperiment,26.852000000000000
ToeSegmentation1Experiment,19.822
ToeSegmentation2Experiment,18.574
TraceExperiment,34.520000000000000
TwoLeadECGExperiment,13.408000000000000
UWaveGestureLibraryZExperiment,906.11
WaferExperiment,298.154
WineExperiment,21.566
WordSynonymsExperiment,193.732
WormsExperiment,238.954
WormsTwoClassExperiment,230.67400000000000
YogaExperiment,227.898
Moods median 5000,145.9394
