Experiment,Runtime (seconds)
ACSF1Experiment,136.74200000000000
AdiacExperiment,286.28200000000000
ArrowHeadExperiment,12.540000000000000
BMEExperiment,12.24
BeefExperiment,16.29
BeetleFlyExperiment,17.380000000000000
BirdChickenExperiment,17.18
CBFExperiment,13.342000000000000
CarExperiment,23.438
ToeSegmentation1Experiment,17.908000000000000
ToeSegmentation2Experiment,17.78
TraceExperiment,28.352000000000000
TwoLeadECGExperiment,13.364000000000000
UWaveGestureLibraryZExperiment,885.256
WaferExperiment,292.424
WineExperiment,17.146000000000000
WordSynonymsExperiment,136.58
WormsExperiment,229.15
WormsTwoClassExperiment,231.086
YogaExperiment,172.39600000000000
Wasser 5000,128.8438
