Experiment,Runtime
ACSF1Experiment,254.31200000000000
AdiacExperiment,404.01600000000000
ArrowHeadExperiment,32.734000000000000
BMEExperiment,11.906
BeefExperiment,34.31
BeetleFlyExperiment,34.918
BirdChickenExperiment,27.204
CBFExperiment,13.544
CarExperiment,33.838
ToeSegmentation1Experiment,25.344
ToeSegmentation2Experiment,24.318
TraceExperiment,37.532
TwoLeadECGExperiment,13.706
UWaveGestureLibraryZExperiment,1332.9
WaferExperiment,732.7240000000000
WineExperiment,22.664000000000000
WordSynonymsExperiment,202.48600000000000
WormsExperiment,358.35
WormsTwoClassExperiment,348.724
YogaExperiment,290.582
8k,211.8056
