Experiment,Runtime
ACSF1Experiment,212.724
AdiacExperiment,347.802
ArrowHeadExperiment,18.596
BMEExperiment,12.354000000000000
BeefExperiment,23.924
BeetleFlyExperiment,21.042
BirdChickenExperiment,19.766
CBFExperiment,13.594
CarExperiment,33.404
ToeSegmentation1Experiment,24.524000000000000
ToeSegmentation2Experiment,25.244
TraceExperiment,35.118
TwoLeadECGExperiment,13.482
UWaveGestureLibraryZExperiment,958.908
WaferExperiment,314.858
WineExperiment,23.198
WordSynonymsExperiment,182.928
WormsExperiment,328.434
WormsTwoClassExperiment,330.43400000000000
YogaExperiment,268.738
Kolmogorov 8k,160.4536
