Experiment,Runtime (seconds)
ACSF1Experiment,391.496
AdiacExperiment,460.85200000000003
ArrowHeadExperiment,25.156
BMEExperiment,16.918
BeefExperiment,33.932
BeetleFlyExperiment,32.918
BirdChickenExperiment,30.324
CBFExperiment,18.812
CarExperiment,52.239999999999995
ToeSegmentation1Experiment,31.512
ToeSegmentation2Experiment,31.224
TraceExperiment,52.74400000000001
TwoLeadECGExperiment,18.07
UWaveGestureLibraryZExperiment,1144.885
WaferExperiment,324.58000000000004
WineExperiment,29.630000000000003
WordSynonymsExperiment,211.5
WormsExperiment,583.0559999999999
WormsTwoClassExperiment,583.168
YogaExperiment,394.62
