Experiment,Runtime (seconds)
ACSF1Experiment,253.67200000000000
AdiacExperiment,409.934
ArrowHeadExperiment,17.362000000000000
BMEExperiment,11.68
BeefExperiment,21.986
BeetleFlyExperiment,21.638000000000000
BirdChickenExperiment,21.532
CBFExperiment,13.172
CarExperiment,36.082
ToeSegmentation1Experiment,22.534
ToeSegmentation2Experiment,21.698
TraceExperiment,37.258000000000000
TwoLeadECGExperiment,12.944000000000000
UWaveGestureLibraryZExperiment,988.292
WaferExperiment,339.92000000000000
WineExperiment,21.012
WordSynonymsExperiment,192.704
WormsExperiment,398.54200000000000
WormsTwoClassExperiment,389.528
YogaExperiment,292.346
avg_5000,176.1918
